c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
0.38,1.23,1.44,36.67,27,40,21.17,2.5,48.33,33.67,30
0.77,1.02,0.87,21.67,20.5,35,10.83,2.33,42.67,23.33,31.67
0.32,0.89,1.02,16.67,14.83,26.67,9.83,2.17,49.84,15.17,30
0.18,0.82,1.3,15,13,28.33,10.33,4.5,43.17,13.17,20
0.22,0.78,2.23,11.66,15,26.67,10.33,4.17,42.34,14.83,20
0.25,0.83,1.75,15,13.83,30,11.83,7,44.17,21,23.33
0.58,0.92,2.2,20,18,38.34,11.67,3.67,48,24.83,25
0.5,1.24,2.15,51.67,33.5,48.34,16.17,8.67,58.67,50.83,40
0.78,1.44,2.28,61.66,52.67,70,26.5,6.83,61.34,66.5,55
0.73,1.55,2.22,66.67,55.66,86.67,26.67,5.5,66,63.83,55
0,1.63,0.74,56.67,66.17,71.66,28.67,5.17,57.66,62.67,60
0,1.72,1.93,55,59.17,70,18,4.5,63.83,62.67,65
0,1.77,1.53,53.34,47.67,63.33,17.17,6,69,57.83,48.33
1.03,1.8,0.68,50,40.83,58.34,17.5,5.67,61.5,58.67,43.33
1.58,1.87,1.12,46.67,37.5,50,18,6.67,47.5,53.17,53.33
0.32,1.82,0.65,46.67,41.33,50,15.67,3.33,55.67,53.33,60
1.03,1.75,1.08,45,40.84,46.66,16.83,3.67,46.83,49.33,46.67
0.37,1.69,0.94,43.33,34.66,41.67,16.83,3.17,39.66,53,40
0.85,1.76,1.55,38.33,31.5,40,22.5,3.33,41.17,47.33,43.33
1.78,1.83,0.87,45,34.5,43.33,19.83,3.67,51.17,59.5,45
0.52,1.93,2.1,50,36,46.66,15.67,3.33,49.33,50.17,43.33
1.17,1.98,2.2,53.33,34.84,46.66,18.67,3.5,50.16,59.5,46.67
0.48,1.87,2.91,53.33,37.34,46.66,18.33,3.17,57.16,61.17,55
1.23,1.44,1.51,45,33.66,41.67,14,2.5,61.83,47.67,55
0.68,1.08,0.87,36.67,27,38.33,19.83,2.5,54.67,32.83,33.33
0.67,0.89,0.53,21.66,20.33,35,12,5,43,25.5,30
0.32,0.78,0.62,15,15.5,26.67,10.17,3.83,48.34,23,28.33
0.2,0.72,1.82,15,14.34,30,12,6.17,59.83,21.33,20
0.15,0.68,2.46,15,13.83,31.66,12.33,4.83,45.5,18.17,35
0.23,0.73,2.52,20,13.5,31.66,13.83,9,49.66,24.17,23.33
0.27,0.8,2.63,23.34,20,31.66,13.83,5.33,62.83,24.17,23.33
0.58,1.08,2.25,51.67,34.66,58.33,18.33,8.33,74.83,45.83,40
1.15,1.26,2.22,61.66,54.83,78.34,29.17,8.83,85.17,72.67,53.33
0,1.36,3.15,63.33,59.67,81.66,31.67,5.33,63,73.33,53.33
0.99,1.43,1.55,58.33,60,75,27.83,4.83,60.83,62.17,61.67
0,1.5,1.17,51.66,57.33,73.33,19.5,4.33,55,62,58.33
0.92,1.55,1.24,46.67,46.67,63.33,19.33,3.67,70.16,54,50
0.51,2.76,0.81,53.33,41.17,60,19.33,5,67,54.5,48.33
1.37,1.64,1.23,55,35.17,51.67,18.17,5.17,49.33,54.17,46.67
0.95,1.6,1.24,50,38.33,51.66,16.5,3.5,44.83,53.83,56.67
0.83,1.54,1.32,43.33,38,46.66,17.83,3,44.33,51.33,46.67
0.97,1.48,1.06,40,32.5,43.34,16.33,2.83,45.5,47.67,43.33
0,1.54,1.69,41.67,32,43.34,21,2.33,50.66,50.67,41.67
0.96,1.6,1.71,43.34,34.17,45,19.67,2.17,63.33,50.83,48.33
0.66,1.69,2.18,46.67,35.33,43.34,16.67,2.67,45.84,54.5,43.33
0.06,1.74,2.87,51.66,30.33,51.67,19.83,3.5,59.17,59.83,60
1.18,1.64,1.75,56.67,34.16,53.34,19.17,2.33,59.17,61.17,58.33
1.12,1.26,1.13,40,31.66,40,15.33,1.67,52.33,46,41.67
0.73,1.09,1.11,35,26.84,38.34,21,1.67,55.33,39.17,31.67
0.43,0.88,0.79,23.34,19.5,36.67,13.17,1.5,41.17,27.17,31.67
0.57,0.81,1.27,16.67,15.67,25,10.83,1,60.5,25,33.33
0.18,0.77,1.27,15,14.17,30,13.17,3.5,56,20.17,23.33
0.23,0.75,2.21,15,14.34,26.67,12.67,3,47.83,19,28.33
0.23,0.75,1.85,16.67,14.83,26.67,12.33,7.17,58.84,33.67,18.33
0.27,0.81,1.99,20,17.17,36.67,13,2.83,61,35.17,30
0.55,1,1.91,45,31,50,16,5.33,72,43.5,41.67
0.83,1.22,1.6,60,50,68.33,29,5.83,70.66,63.17,51.67
0.95,1.41,1.99,71.67,51,78.34,29.67,4.67,73.67,65.67,58.33
1,1.59,1.89,55,57.83,65,23.5,6.5,75.84,63.33,60
0.15,1.64,1.55,50,50,71.66,20.5,3.83,58.33,62.33,71.67
0,1.68,1.81,50,40.83,61.66,20.83,3.83,55.17,54.67,58.33
0.6,1.65,1.22,45,36.5,53.33,18.83,3.83,51.84,52.17,55
0,1.68,0.41,48.34,36.66,46.66,18,5,49.83,52.33,43.33
1.17,1.65,0.35,50,31.83,45,17.83,3,47.83,52.83,58.33
0,1.66,0.54,45,31.5,45,18.33,3.17,45.17,49.83,56.67
1.28,1.54,1.17,41.67,27.67,40,17,3,50.5,45.67,41.67
0.13,1.72,1.16,38.33,29.83,43.33,21.67,2,46.84,49.67,45
0.92,1.83,1.05,43.34,33.5,48.33,21.83,2.5,44.67,51.67,48.33
0,1.77,1.74,46.67,32.5,46.66,15.67,2.5,62,51,43.33
0,1.97,3.2,56.67,28.67,53.33,20.67,3.67,58.17,52.83,48.33
0.44,1.8,1.97,55,32.34,50,19.33,2.5,52.5,57.33,56.67
1.07,1.42,1.56,38.33,29.67,41.67,14,2,39.67,44.67,45
1.05,1.3,0.97,30,24.16,38.34,21.17,1.5,48.33,35.17,41.67
0.35,1.06,2.49,21.67,17.83,35,12.67,2,42.84,24.5,41.67
0.73,0.98,2.44,15,14.83,25,11,1,40.16,24.83,30
0.18,0.93,3.22,16.67,11.84,28.34,14.83,3.67,50,23.33,25
0.2,0.89,3.93,13.33,12.5,26.67,13.33,3.33,52.5,19.67,31.67
0.2,0.89,3.72,20,13.5,30,13.33,7,71,24.33,23.33
0.22,0.98,4.1,26.67,18,35,13.17,2.67,59.5,25,26.67
0.52,1.2,3.7,48.33,30.5,50,23.5,5.67,72.33,43.5,45
0.53,1.47,3.42,58.33,47.33,70,28,5.17,78.5,62,50
0,1.69,4.22,60,52.67,71.66,29.83,3.67,76.67,61.67,66.67
0,1.9,2.84,58.33,59.33,61.67,26.67,3.83,58.33,63,70
0,1.97,2.27,55,52.5,65,21,5,67.5,58.83,60
0.86,2.02,0.63,53.33,41.33,58.33,20.33,6.5,64.67,61.5,46.67
0.66,1.98,1.19,50,38.33,48.33,18.5,3.33,77.33,56.67,51.67
1.38,2.02,2.21,48.34,34.33,45,18,3.33,58,52.33,48.33
1.45,1.98,0.85,46.67,35.34,40,18.33,3.33,59.33,50.83,60
1.17,1.99,0.31,43.33,32.17,43.34,19.83,2.83,49.33,50.67,48.33
1.15,1.84,0.28,43.34,28.5,41.67,17.5,2.5,56.33,48.5,46.67
0.64,2.06,0.1,40,32.17,38.33,20.83,3.33,53,50.67,45
1.61,2.2,1.25,45,34.16,45,20.5,2.67,52.5,50.17,46.67
0.68,2.12,2.16,46.67,30.66,45,16.83,2.17,46.34,50,55
1.05,2.36,2.59,46.67,23.5,40,17.17,2,57.33,52.83,50
0.6,2.16,2.15,41.67,28.67,38.33,14.83,2,52.5,47.5,46.67
0.72,1.7,1.3,31.67,23.5,31.67,12.5,1.5,54.33,37,38.33
0.67,1.56,1.23,33.34,20.5,28.34,19.67,1.5,53.16,31,36.67
0.63,1.28,0.65,26.66,17.5,30,8.83,1.17,58.67,23.67,38.33
0.23,1.11,0.01,20,16,23.33,6.5,1,62.66,24,31.67
0.18,1.08,1,11.67,12.5,23.33,7.17,1.67,53,27,23.33
0.25,0.98,2.13,8.33,11.5,20,13.17,2,47.17,26.5,26.67
0.25,0.99,1.96,11.66,13.34,23.33,5.83,1.83,72.34,25,16.67
0.15,1.06,2.1,10,17.5,28.34,6,1.67,59,19.33,21.67
0.33,1.19,3.12,21.66,19.17,31.66,8.67,3.67,40.34,24.67,21.67
0.73,1.38,0.99,38.33,21.17,41.67,15.67,4.33,44.17,37.67,38.33
1.15,1.8,2.33,53.33,33,46.67,20.5,6.17,53.66,52.67,46.67
0.27,2.31,1.65,56.67,36.67,50,26,3.33,48.33,59.83,61.67
0,2.78,1.84,56.67,34.67,43.34,25,3.5,57,62,55
0,2.77,0.83,55,30,40,19.17,3.17,49.5,54.5,51.67
0,2.96,0.94,46.66,25.67,31.67,17.17,4,43.16,50,46.67
0,2.8,0.72,43.34,23,26.66,19.33,2.83,37.67,51.17,45
1.32,2.32,0.32,45,23.5,26.66,22.5,1.67,45,48,50
1.02,2.52,0,41.67,20.33,26.66,21.67,1.5,34.5,44.67,43.33
1.87,2.07,0.52,35,20.33,20,13.5,1.5,33.67,40.5,40
0.65,2.03,0.92,40,20.5,26.66,18,2.17,40.67,43.5,41.67
0,2.32,0.3,36.67,21.33,28.33,17.83,1.67,35.34,42.17,38.33
1.37,2.38,1.03,40,23.34,36.67,14.17,2,37.66,43.5,38.33
0.42,2.35,1.42,43.34,22.5,31.67,15.17,2,44.67,46,40
0.06,2.26,1.17,41.67,24.33,36.67,15.33,2,40.5,42.33,41.67
1.25,1.66,0.88,30,21,33.34,12.83,1.33,37.67,35.33,38.33
1.38,1.61,0.65,25,17.83,23.33,10.5,1.17,36,34.17,35
0.92,1.38,0.61,16.67,13.83,30,9.17,1.17,40.33,25,31.67
0.87,1.24,1.23,11.67,14.5,23.33,7.17,0.83,40.67,25.17,23.33
0.78,1.22,1.15,10,10.67,25,6.5,2.83,47.5,19.67,16.67
0.73,1.15,2.29,10,10.83,21.66,7,2,38.17,16.17,26.67
0.8,1.1,1.61,11.67,11.33,25,7.33,0.83,40.67,14.67,13.33
0.78,1.09,2.5,10,15.33,25,6.83,1.67,46.33,14.5,13.33
1.05,1.35,2.56,16.67,16.5,30,8.5,3.5,35.67,18.67,18.33
0,1.4,1.12,25,19.33,28.33,12.67,3.67,25.16,28.17,23.33
0.55,1.91,1.2,41.67,20.67,35,19.67,2.5,42.66,39.67,36.67
1.05,2.36,0.75,51.66,24,35,24.67,2.83,37.33,52.33,46.67
0.71,2.77,0.6,61.67,32,36.67,22.67,2.5,59,60.67,56.67
0.26,2.6,0.97,51.66,29,35,22,3.5,47.5,57.5,51.67
1.29,2.71,1.19,50,27.34,31.67,21.33,2.67,55,52.33,50
1.31,2.46,1.29,48.34,22.66,26.66,20.33,2.5,39.66,50.83,48.33
1.77,2.46,0.23,43.34,22.5,26.66,16.17,1.83,42.33,43.5,48.33
0.67,2.08,0.08,36.66,20,23.34,16.67,2.33,35.66,39.5,41.67
0.9,2.22,0.65,33.34,17.83,21.67,15.33,2.17,36.83,34.5,38.33
0.97,2.43,1.47,36.66,18.83,23.34,18.33,3.17,45.33,39.5,41.67
0.87,2.42,0.54,38.33,23.5,30,13.5,2.67,46.84,43.17,41.67
1.68,2.74,2.63,45,26.83,31.67,16,2.67,57.33,57.83,41.67
1.52,2.46,2.49,50,23.66,36.66,17.83,4,63.34,49.83,45
1.08,2.16,2.63,46.67,26.33,41.67,17,2.33,49.33,51.33,50
0.83,1.98,1.05,33.33,22.84,30,13.33,1.33,49,38.33,36.67
0.72,1.41,0,31.67,20.16,28.33,11.83,1.5,55.67,32,36.67
0.58,1.14,0.5,21.67,14.17,28.34,13.33,2.33,54.67,22.33,30
0.65,1.05,0,13.33,14.17,20,10.33,1,62.33,24.17,21.67
0.33,1,1.58,13.33,11.67,25,13.5,3.5,49.67,19.67,18.33
0.37,0.96,1.89,10,12.17,28.34,13,3,49.33,19.17,25
0.32,0.96,2.13,20,12.5,30,12.33,6.83,72,32.67,16.67
0.48,1.05,2.57,20,17.67,31.67,11.33,2.5,78.83,25.17,18.33
0.37,1.29,2.58,38.33,23.83,45,15.67,4.17,61.67,42.17,31.67
0.95,1.58,1.53,45,33.17,58.33,24.17,5,73.83,50,43.33
0,1.82,1.55,55,38.66,63.33,28.33,5.83,68.5,58.83,48.33
0,2.05,2.18,53.33,47.5,61.67,26.67,3.5,63.34,60.17,61.67
0.03,2.12,0.99,51.66,45,55,24,3.17,62.67,60.67,53.33
1.12,4.19,0.57,51.67,34.84,50,18.67,2.67,52.5,57.67,48.33
0.04,2.13,0.9,48.34,27.67,41.67,16.67,2.5,59.83,47,48.33
0.7,2.18,0.8,41.67,27.67,33.34,16.5,2.83,44.33,48.17,53.33
1.4,2.13,0.96,45,29.67,35,16.33,2.33,40,50,51.67
1.22,2.15,0.32,40,26.5,30,17.5,1.83,39,44.5,43.33
1.27,1.99,0.95,33.33,24.33,28.33,14.83,1.67,41.83,40.33,38.33
1,2.22,0.82,36.67,26.5,31.67,20,2.67,58,39.67,36.67
1.15,2.37,1.4,38.33,28.66,35,20.17,3,37,44.33,40
1.1,2.29,1.77,41.67,27,38.33,14.33,2.17,46.83,46.33,48.33
1.54,2.55,2.15,45,24,40,16.83,2.5,53.67,57,46.67
1.15,2.33,1.65,46.67,29,41.67,16,2,54.5,53.33,50
0.98,1.83,1.25,35,23.84,35,13.5,1.33,41.83,40,38.33
0.7,1.17,1.35,28.33,18.5,30,16.83,1.5,35.83,32.17,30
0.53,0.95,0.85,21.67,15.16,30,11.67,1,33.67,22.83,21.67
0.4,0.88,1.12,15,12.83,21.66,9.33,0.83,44.33,16.33,23.33
0.32,0.83,1.24,15,11.5,25,11,3.5,44.5,14.33,15
0.28,0.8,2.3,15,11.5,25,10,3.17,38.84,16.5,15
0.38,0.8,1.79,18.33,12,26.67,8.33,7,44.33,31.17,15
0.35,0.88,2.46,20,16,33.33,8.33,2.67,47.83,35.67,18.33
0.33,1.07,2.6,38.33,21.5,41.67,12.17,4,49.17,40.17,31.67
0.87,1.32,1.54,51.67,30.17,53.33,21.83,4.83,50.16,49.33,45
0,1.52,2.17,55,33,56.67,25.5,3.33,61,60.83,48.33
0,1.71,1.21,53.33,41.17,56.67,22.83,4.17,52.16,63.83,58.33
0,1.77,1.24,48.33,39.33,53.34,18.33,3.17,59.5,55.67,63.33
0.25,1.81,0.87,45,33.33,45,18.5,3.83,49.17,50.33,56.67
1.93,1.77,1.53,43.33,29,38.33,18,4.17,40,48,45
1.19,1.81,1.02,41.67,25.83,33.34,16.67,4.5,38.66,47.67,56.67
1.48,1.77,0.63,46.67,25.5,35,17.67,2.5,39.83,48.17,56.67
0.05,1.79,1.37,40,25,33.34,17.33,2,40,43.33,41.67
0.77,1.66,0.78,40,25.33,31.67,15.17,1.67,39.84,40,38.33
0.19,1.85,1.25,36.66,27.16,33.34,19.83,2.5,40.34,42.17,38.33
1.18,1.97,1.42,41.67,30.5,36.67,19.67,2.17,38.5,43.83,51.67
0.87,1.91,2.03,41.67,27.33,36.66,14.67,3.33,49.5,46.67,40
1.18,2.12,1.68,48.33,21.66,40,19,2.33,51.33,49.17,45
0.07,1.93,1.7,48.33,29.67,38.33,17.17,2.5,50.17,51.33,58.33
1,1.52,1.52,35,25.34,31.67,13.33,1.5,55,38.83,38.33
0.68,1.03,0.89,31.67,21.17,33.33,19.67,1.83,53.5,31.17,31.67
0.63,0.84,0.48,21.67,16.33,30,12.83,2.5,42,23.83,26.67
0.2,0.77,0.42,15,14.33,23.33,9.67,1,60.67,24.67,33.33
0.22,0.73,1.56,13.33,12,26.67,14.83,3.5,63.33,23.5,20
0.22,0.71,2.28,13.33,10.83,28.34,12.67,2.17,46.16,18.33,25
0.13,0.71,2.31,20,12.5,25,9.67,7,52.67,22.5,16.67
0.23,0.77,2.28,21.67,17,30,9,2.5,73.33,24.5,18.33
0.4,0.95,2.38,41.67,24.83,46.66,14.5,4.67,80.5,39.33,35
0.82,1.16,1.18,50,27.33,55,24.17,5.17,57.5,50.17,40
0,1.33,2.25,50,31.66,56.67,26,6,68.33,56.33,48.33
0,1.5,1.05,48.34,39.5,48.34,25.67,4.83,52,56,55
1.08,1.55,0.66,50,39.34,46.66,17.67,4.67,59.34,52.67,60
0.21,1.59,0.92,43.34,39.84,31.66,19,3.17,51.16,49.33,46.67
0,1.56,0.75,40,37.17,31.66,18.17,4.5,38.33,46.17,46.67
1.37,1.59,0.55,41.67,21.84,36.66,17.5,2.33,41.33,46.33,41.67
1.55,1.56,0.47,40,27.66,31.67,16,2.17,36.5,46.17,50
1.22,1.57,1.43,41.67,23,33.34,16.5,2,35.67,43.33,43.33
1.05,1.46,1.15,40,25,30,15,1.83,46.5,39.33,36.67
1.07,1.63,0.63,38.33,23.5,31.67,19.67,2.83,49.33,40.33,38.33
0.77,1.74,0.51,36.66,23.83,31.67,19.67,2.5,40.16,42.17,45
0.4,1.68,0.6,40,22.84,31.67,13.67,1.83,35.33,46.5,38.33
0.95,1.86,0.43,40,22.5,33.34,15.17,2.33,48.34,45.17,48.33
1.03,1.7,0.93,41.67,22.83,36.66,14.83,2,39.17,45.5,46.67
1.1,1.34,1.45,30,22.17,28.33,11,1.67,56.17,35.33,36.67
0.77,1.09,1.1,26.66,18,25,17.33,1.33,51.33,31.5,28.33
0.65,0.89,0.59,20,14,26.67,13.17,1,34.16,20.17,31.67
0.43,0.82,1.07,13.33,12.5,18.33,9.83,1.17,34.5,23.33,21.67
0.33,0.78,1.08,15,10.84,23.33,12.5,3.67,36.83,25.67,15
0.3,0.75,2.24,13.33,11.67,20,12.33,3.17,37.33,19.83,21.67
0.28,0.75,1.23,15,11,21.66,9,6,41.33,15.83,15
0.33,0.82,1.9,18.33,14.16,30,9.83,2.5,55.84,20.83,18.33
0.62,1,2.66,36.67,25,40,12.83,2.33,62.17,36.33,30
1.23,1.23,1.03,48.33,25.33,45,26.33,3.67,58.83,55.83,40
0,1.42,2.14,50,25.5,58.33,28.5,3,57,54.67,58.33
0,1.59,1.23,48.34,29,53.34,25.5,7.33,44.66,54.5,68.33
0,1.65,1.4,48.33,36.33,46.66,24,3,48.34,51,56.67
0,1.69,1.42,40,18.67,36.66,18.33,2.5,48.34,48.67,48.33
0,1.66,1.35,43.33,19,35,17.17,3.5,48.83,45.67,43.33
1.23,1.69,1.37,41.67,17.17,33.34,17.5,2.67,45.16,46.5,41.67
1.57,1.66,1.67,41.67,20.34,33.34,16.67,2,46.83,46.83,50
0,1.67,1.88,38.33,17.33,30,17.5,2,41.33,44.33,40
0.93,1.55,1.45,35,15.67,28.33,15,1.67,41,40.5,35
0,1.73,2.42,40,14.83,30,20,2.67,35.84,41,36.67
1.2,1.84,1.45,38.33,21.33,31.67,19.67,1.67,40.17,54.33,40
1.32,1.78,2.95,36.66,21,33.33,12.67,1.83,50.5,42.33,38.33
0.3,1.98,2.02,40,18.5,35,16,2.17,51.83,44.33,45
0,1.81,1.58,41.67,21.17,38.33,14.33,2,46.67,47.67,48.33
0.44,1.42,1.49,30,18.67,30,10.83,1.5,47.67,37.17,36.67
0.47,1.31,1.15,23.33,15.67,30,17.5,1.5,40.67,31.17,28.33
0.53,1.06,0.78,16.67,11,26.67,13,2,32.67,24.83,30
0.63,0.98,0.91,10,11.84,21.67,9.83,1.17,37.5,23.5,26.67
0.43,0.93,1.9,8.33,9.83,25,13.5,3.5,52.17,25,20
0.45,0.9,2.75,8.33,9.33,26.67,12,3.33,40.66,22.17,28.33
0.43,0.9,2.43,15,10,35,9.5,6,56.33,24.5,21.67
0.42,0.98,1.97,15,14.17,31.67,9.5,2.5,68.66,35.83,21.67
0.85,1.2,2.02,35,19.16,40,13.33,3.67,73.83,37.33,31.67
1.5,1.48,1.24,45,20.33,55,23.5,4.17,79.67,49.67,46.67
1.12,1.7,3.05,56.66,14.67,65,26,2.33,71.5,55.67,43.33
0.07,1.91,1.53,56.66,15.5,48.33,24.5,3.83,54,56.67,60
1.09,1.98,2.55,50,26.66,56.67,18.33,5.17,61,54.83,53.33
0.37,2.03,1.83,48.33,18.67,46.67,18.83,4.5,54.67,52.33,48.33
0.11,1.99,2.25,46.67,17.83,40,16.83,3,47.17,45.67,48.33
1.38,2.03,1.65,41.67,14.33,35,18.33,7.17,41.17,46.17,51.67
0,1.99,1.93,41.67,23,30,15.83,2.5,34,45,46.67
0.05,2.01,0.9,38.33,16.67,31.67,17.5,2.33,34.34,43.5,40
1.48,1.86,1.46,36.66,15.16,30,15.67,2.5,42,41.33,40
1,2.07,1.77,35,20.34,33.33,20.83,3,46,41.67,35
1.6,2.21,0.9,36.66,21,45,20.83,2,43.67,43,40
0.54,3.65,2.19,40,19.83,40,14.17,2.33,49.83,51.67,38.33
1.15,2.38,2.18,41.67,17.84,33.34,15.5,2.33,53.33,44.67,36.67
0.92,2.17,1.95,40,22.5,31.67,15.17,2.17,44.83,44.67,40
1.4,1.71,0.97,28.34,18,31.67,12,1.5,63.5,33.83,36.67
0.83,1.57,1.2,26.66,14,26.67,18.33,1.33,48.67,28.17,35
0.78,1.29,0.55,21.67,12.17,28.34,8.83,1.17,51.67,22.67,36.67
0.75,1.11,0.95,16.67,12.83,25,6.17,1.17,47.5,22.67,30
0.48,1.09,1.28,10,9,25,6.17,1.67,47.84,19.33,18.33
0.72,0.99,2.27,8.33,9,20,13.33,2.17,41.67,18.17,25
0.52,1,1.44,13.33,10.5,23.33,6.17,1,61.5,20.83,16.67
0.57,1.06,1.57,13.33,13.33,26.67,6.67,1.5,48.34,25.83,20
0.63,1.19,2.2,18.34,22,31.66,8.17,3.67,41.17,26.17,21.67
1.13,1.39,0.43,36.66,9,40,14,4.83,43.17,33.5,33.33
0,1.81,1.68,46.67,6.16,41.67,21,2,43.17,45.67,40
0,2.32,0,55,5.5,40,25.5,2.5,43,55.5,48.33
0,2.79,0,51.67,21.84,41.67,18.17,2.67,50.5,52.67,51.67
0,2.78,0.4,51.67,15,36.66,13.33,2.5,43.5,47.83,41.67
0.05,2.97,1.16,46.67,13.16,30,12.67,2,35.5,47.67,45
1.32,2.81,0.71,41.67,12.33,28.33,11.67,2.33,34,45.67,45
1.07,2.33,0.3,36.66,18.66,25,10.67,2,31,48.17,43.33
0.82,2.53,0.65,36.66,13.84,23.34,10.83,2,27.83,42.83,40
0.8,2.08,0.2,31.66,11.84,21.67,14.67,1.5,41.83,36.33,36.67
1.25,2.04,1.02,33.33,14.17,25,15.17,2.33,31.66,38.67,38.33
0,2.33,0,35,17.34,26.66,9.17,1.67,34,42.33,36.67
0.1,2.39,0.75,33.34,16.5,31.67,8.67,1.83,40.17,40.67,40
0.15,2.35,1.12,38.33,17.34,28.33,10.83,2.67,49,38,35
1.3,2.27,0.7,33.33,18,38.33,12,2.33,37.34,39.17,36.67
0.93,1.67,0.89,30,17.83,30,10.83,1.17,37.84,31.67,30
0.52,1.61,0.66,21.66,13.17,30,17.83,1.17,38,25.33,26.67
0.48,1.38,0,16.67,10.5,31.66,10,1,38.84,22,26.67
0.43,1.24,1.22,10,11.83,23.33,7.83,0.83,35.84,21.17,28.33
0.33,1.22,1.21,11.67,8.5,23.33,7.17,2.33,49,23.33,20
0.27,1.15,2.06,11.67,10,20,7.17,0.83,41.34,15.83,28.33
0.27,1.1,0.79,11.67,9.34,26.67,7.67,0.83,45,13.33,26.67
0.3,1.09,1.6,11.66,12.66,30,7.5,1.67,45,13.17,16.67
0.38,1.35,2.58,13.33,12.5,30,6.83,3.33,36.67,17,18.33
1.02,1.4,0.2,23.33,11,28.33,11.67,4,31.67,24.5,25
0.49,1.9,2.5,38.34,4.67,33.33,17.17,2,32.67,37,33.33
0,2.36,2.15,50,5.17,33.34,20.67,3.33,35.67,50.17,46.67
0.2,2.77,0.66,51.66,10.83,36.67,15.33,2.67,48,50.5,50
0.43,2.6,1.07,51.66,8.83,33.34,13.17,3,48.66,52.33,48.33
0.78,2.71,1.37,48.33,6.67,26.66,13,2.67,40,48.33,45
1.13,2.45,0.65,41.67,6.83,30,12.83,2.83,35.17,45.67,45
1.75,2.46,0.95,41.67,8.83,26.66,11.33,2.17,29.33,40.17,41.67
0.35,2.08,0.93,35,15.83,23.34,14.5,1.67,32.34,35.67,41.67
0.84,2.22,0.86,31.66,3.67,21.67,20.67,1.83,34.33,41.17,33.33
1.48,2.43,1.08,35,10.33,28.33,22.17,2.67,29.5,35,36.67
0.03,2.42,1.62,36.66,17,28.33,13.5,1.83,35.67,38.33,36.67
0.02,2.73,0,40,18.83,31.67,15.17,2,42.5,41.33,36.67
1.46,2.46,2.82,46.67,17,35,16.67,2.67,54.17,45.83,41.67
1.07,2.16,1.69,41.67,19.5,38.33,15.33,2.17,41.84,42,41.67
1.17,1.97,1.64,30,17.5,28.33,12.33,1.5,55.5,33.17,33.33
0.8,1.4,2.42,28.33,13,25,18.17,1.33,45.84,24.5,23.33
0.4,1.14,0,18.34,10.67,28.34,13.17,2,48.34,25.83,21.67
0.32,1.05,0.78,13.33,11.17,21.67,9.83,1,41.66,21,21.67
0.2,0.99,2.15,15,9.33,26.67,13.33,3.17,47.17,22.67,16.67
0.32,0.96,3.58,11.66,8.5,28.34,12.5,2,52.34,20,23.33
0.18,0.96,3.29,20,8.83,40,10.33,5,68.67,22.17,16.67
0.35,1.05,2.46,16.67,13.83,36.66,9.5,4.5,62,32.83,18.33
0.47,1.29,3.45,35,17.16,45,17.17,5.17,65.66,29.5,28.33
1.08,1.58,1.25,43.33,14,55,25.83,5.17,66.5,41.33,38.33
1.02,1.81,2.19,51.67,9,61.67,28.5,4.83,56.5,49.17,48.33
0,2.04,0.68,53.33,17,50,28.83,5.5,54.84,54.33,48.33
0.5,2.11,0.8,48.34,21.67,56.67,20.83,4.5,56.16,55,50
0.08,2.17,0.67,50,17.34,48.33,20,3.83,44.83,54,46.67
0.1,2.12,0.87,41.67,16.17,36.67,19,2.67,55.83,47.5,55
1.07,2.17,0.15,45,12.84,31.67,18.67,4.33,42.5,44.33,46.67
1.9,2.12,0.65,40,20.5,31.67,17,2.5,36.17,42.5,45
0,2.14,0.67,38.33,15.33,31.67,16.5,2.5,42.33,39.17,40
0,1.98,0.62,35,16.5,28.33,15.33,1.83,38.33,35,33.33
0.75,2.21,0.87,33.34,19.33,33.33,20.33,2.67,34.33,37.33,41.67
0.4,2.36,0.57,36.67,23.5,40,20,2.67,39.5,40.5,35
0.59,2.28,2.07,36.66,22.17,33.34,13.33,2,45.33,42.17,40
0.12,2.54,1.98,41.67,14.67,43.33,17,2.33,52.5,45,38.33
0.63,2.32,0.63,38.33,22,41.67,16,2.5,46.34,44.83,43.33
1.03,1.82,0.75,30,19.17,31.67,12,1.5,47.33,34.83,38.33
0.95,1.16,0.73,26.66,15.66,28.34,19.17,1.33,38.17,26.33,23.33
0.47,0.94,0.21,20,11.84,30,11.67,1.17,36.5,22.67,36.67
0.33,0.87,0.3,15,12,25,9.67,1,39.33,17,30
0.25,0.83,0.32,16.67,9.83,23.33,10.17,3.17,48.66,14.33,20
0.18,0.8,1.85,13.33,10.34,23.33,10,2.17,46.17,17.67,16.67
0.33,0.8,1.27,18.33,10.17,25,7.67,3.33,49.16,20.17,20
0.27,0.87,0.22,16.67,13.5,31.66,7.83,1.83,50.5,33.33,20
0.42,1.07,1.79,36.67,17.67,36.67,11,4.17,48.17,36.83,28.33
0.43,1.31,0.98,46.66,14.83,46.67,21.83,4.5,47.5,44,36.67
0,1.51,2.61,55,12,55,20,3,66.33,51.5,45
1.23,1.7,1.4,51.67,14,55,22.5,4.17,55,51.67,51.67
1.28,2.35,0.98,50,25.5,45,20.33,3.67,54.83,54.67,63.33
0,1.8,1.73,46.67,17.5,45,18.67,3.5,45.17,50.33,55
0.26,1.76,0.67,48.34,13.67,40,18.33,2.5,38.83,45.67,48.33
