c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
0.12,0.71,2.65,15,14.17,26.67,10,3.83,39.67,14.83,16.67
0.15,0.76,1.75,15,16.66,23.33,10.5,3.5,42.84,17.5,16.67
0.62,0.84,2.57,21.67,20.33,35,9.5,1.83,51.5,20.33,25
0.55,1.13,1.72,56.67,40.83,61.66,17.67,6.5,76.17,47.33,45
0.67,1.31,1.65,75,63.66,88.33,27,7,98.16,72.17,65
0.97,1.41,2.39,71.66,62.17,88.34,30,8.67,73,69.17,61.67
0,1.49,1.38,60,68.17,83.33,27.83,6.17,73.17,66.5,71.67
0,1.56,2.62,58.33,62.5,78.34,20,7.67,65.5,59.5,55
1.2,1.61,3.47,61.66,52.67,66.67,18.5,10,61,56,55
0,1.64,1.55,56.67,44.17,61.67,20.17,10.33,55.33,62.83,50
0.92,1.71,0.93,55,40.66,60,20,9.5,57.33,55.17,58.33
1.15,1.66,0.46,55,40.34,56.66,18.5,6.5,56.67,60,56.67
1.32,1.6,0.97,51.66,44.33,50,16.33,3,59,56.83,50
0.77,1.53,1.2,43.34,32.5,46.66,15.5,2.33,50.17,52,48.33
1.42,1.6,1.1,41.67,32.17,38.33,20.17,3.17,54.5,48,50
0.67,1.66,0.53,43.34,39.83,38.33,19.33,2.67,47.67,54.83,48.33
0.95,1.75,1.2,51.66,41.5,46.66,15,2.5,44.83,56.5,45
0,1.8,1.52,51.66,36.83,46.66,19.5,3.5,61.5,59.67,50
0,1.7,1.13,58.34,40,55,18,2.83,52.33,64,56.67
0,1.31,0.89,41.67,34.83,41.67,13.83,2.33,55.66,46.67,43.33
0.55,1.33,1.05,36.67,30.66,36.66,17,2,47.5,33.5,33.33
0.37,1.1,1.05,21.66,21.5,30,14.17,2,33.84,27,30
0.28,0.96,1.08,13.33,18.33,26.67,11.67,1.17,33.66,20.83,21.67
0.15,0.89,1.77,16.67,15.66,26.67,12.83,2,45.33,24.33,23.33
0.23,0.85,1.89,11.66,15.34,30,10.5,3.5,43.5,15.83,18.33
0.1,0.91,2.06,18.34,15.5,31.66,10.33,5,50,24,26.67
0.33,1,2.4,23.34,20.5,36.67,12,1.67,67.17,25.17,20
0.43,1.34,1.95,58.34,39.83,56.67,20.33,8.17,76.5,50.33,43.33
0.92,1.56,1.85,71.66,65.5,88.33,30.5,6.17,95.83,74.67,66.67
1.33,1.68,1.15,71.66,68.34,83.34,31.33,5.17,74.34,70.17,66.67
0.14,1.77,1.33,65,66,78.33,28.33,6.17,67.16,66.17,61.67
0,1.86,1.73,60,70,81.67,20.33,5.67,57.67,66.83,70
0,1.92,0.88,55,54.83,73.33,20.33,4.83,69.66,66.17,56.67
0.33,1.95,0.65,55,46,58.33,20.17,3.33,53.17,59.33,53.33
0.38,2.03,1.21,60,43.16,56.66,20,5.67,55.16,56.5,55
1.07,1.98,0.81,53.33,40.67,51.67,21.83,3.67,59.67,56.83,61.67
0.82,1.9,1,51.66,42.67,56.67,17.83,3.83,55,55.33,51.67
1.17,1.83,0.34,48.34,39.5,51.67,17.33,3.17,46.67,51.17,53.33
1.32,1.91,0.96,46.67,40,46.66,19.67,3.83,48.5,55.83,45
0.25,1.98,0.55,50,38.16,50,20,4.17,44.5,64,51.67
0.61,2.09,1.8,48.33,41,50,16,3.67,49.66,56.67,46.67
0.7,2.15,0.98,56.67,37.34,56.66,19,4,56,61.5,50
1.08,2.03,1.09,53.33,37.5,50,16.83,2.5,57.5,54.83,56.67
1.1,1.56,0.35,35,30.5,41.67,13.83,2.67,75.84,45.67,40
0.97,1.55,0.96,33.34,26.33,36.66,16.5,1.33,52.83,32.5,33.33
0.57,1.28,0.48,26.67,23.16,30,8.83,1.67,51.67,31.5,45
0.45,1.18,0.98,16.67,19.16,28.34,6.83,1,53.83,24.17,35
0.3,1.1,1.26,8.33,20.16,28.33,6.83,1,47.17,21.67,26.67
0.3,1.06,2.31,8.33,16.83,25,13.83,1,44.67,26.83,25
0.28,1.03,2.07,10,20.5,25,6,0.83,60.83,22.5,21.67
0.35,1.08,2.37,11.67,22,30,5.83,1.83,42.83,21.17,20
0.72,1.15,1.44,23.33,26.17,38.34,8.33,5.33,36.67,28.33,25
1,1.46,1.47,40,29.5,50,16.67,4.5,57.67,42.67,40
0,2.05,2.07,63.33,37,61.67,22.67,3.17,57,62.33,56.67
0.35,2.56,2.01,73.33,51.17,60,24.33,7.33,66.5,75.17,66.67
0.13,2.7,1.79,71.67,51.33,56.67,20.5,4.17,65,69.83,71.67
0.2,2.88,1.6,66.66,40,55,24,3.83,60.66,65.83,61.67
1.13,2.73,0.88,60,35.33,45,20.5,3.83,50,57.17,55
1.13,2.55,1.26,60,29,43.34,22.67,3.33,48,57.83,55
1.13,2.59,1.35,51.67,29,40,17,3.67,44.67,56.67,56.67
0.45,2.19,1.15,50,25.67,33.34,18.33,3.17,37.33,53.33,53.33
0.98,2.15,1.05,45,23.5,30,20.5,1.83,36,44.33,45
1.18,2.16,1.4,50,26.83,35,21.83,2.5,38.5,50.67,46.67
1.05,2.19,1.2,53.33,29.67,36.66,15,3,48.16,52,43.33
0.65,2.18,2.15,51.67,31.83,43.33,15.33,2.67,58.33,50.67,40
0.5,2.1,2.15,50,30.33,43.34,17.83,2.67,46.67,48.83,45
0.03,2.06,1.65,48.33,31.84,46.67,16.83,2,48.34,48.83,48.33
0,1.72,0.33,40,28.66,38.34,12.33,2.33,47.66,39.5,35
0,1.5,0.98,28.33,25,31.67,16.67,1.5,41.5,29.83,36.67
0.72,1.35,0.82,18.33,19,28.33,8.67,1.33,39,28,41.67
0.47,1.24,1.55,11.67,18.5,26.67,6.17,1.17,35.17,23.83,33.33
0.32,1.07,1.18,10,15.33,25,6,1,38.5,21.5,25
0.38,1.09,2.13,10,12.83,25,11.83,2.5,36.34,14.83,21.67
0.23,1.05,1.45,6.66,12.67,25,5.33,1,35.5,14,15
0.4,0.99,2.2,8.33,20.83,26.67,5.17,2.5,39.5,14.33,15
0.35,1.1,1.38,18.33,27,36.67,7.17,6,34.74,19.83,18.33
0.44,1.44,1.39,31.67,30.83,35,13.17,4.33,31.83,31.83,26.67
0,1.8,2.16,50,31.5,41.67,21,3,46.66,48.33,43.33
0,2.39,1.38,65,38,45,27,4.17,67.83,61.83,60
0.35,2.88,1.46,70,40.83,46.67,21,3.83,63.5,68,71.67
1.78,3,1.22,65,37.67,45,22.67,4.33,60.84,65.5,58.33
1.03,3.17,2.19,61.67,32.17,43.33,21.17,3.5,49.67,60.83,58.33
1.81,2.66,1.33,60,28.33,40,20.5,4.67,45.33,58.67,53.33
0.53,2.52,1.66,51.67,31.33,31.67,17,3.33,47.5,51.67,55
1.87,2.35,0.72,46.67,26,30,16.33,3,41.5,46.67,43.33
0.75,2.14,0.6,43.34,23.5,31.67,21.67,2.5,37.33,40.17,46.67
0.94,2.44,2.07,45,28.33,35,21.5,3.33,42.17,50.5,43.33
1.52,2.43,2.83,53.33,34.17,40,17.5,4.67,47.5,66.33,53.33
1.16,2.5,2.93,58.33,39.17,46.67,18.83,4.17,51.84,56,50
1.34,2.46,1.73,56.67,34.67,46.66,22,4.83,57.34,59.83,51.67
1.55,2.24,1.1,55,37,55,19.5,3.67,58.5,61.67,60
0.72,1.87,1.48,41.66,36.84,43.34,15,4.33,48.83,44.17,48.33
1.17,1.49,2.05,40,29,38.33,17.67,2.67,60.5,36.17,38.33
0.58,1.24,1.1,23.33,20,30,12.5,16.5,49.33,28,35
0.43,1.08,0.75,13.33,16.17,26.66,12.17,1,52.33,20.83,30
0.3,1,2.21,13.33,14.34,26.67,13.33,1.33,44.17,24.67,26.67
0.33,0.95,2.71,11.66,15.34,26.67,14,3.5,39.66,17.17,25
0.28,1.01,2.52,18.34,16.34,28.34,11.33,4.83,68,34.83,23.33
0.43,1.12,2.96,21.67,19.84,36.67,12.17,2.33,71.67,32,25
0.67,1.5,2.39,58.34,37,60,19.5,7.33,73.5,56,48.33
0.55,1.75,2.1,68.33,65.16,93.33,31,5.67,102.33,74.5,70
0,1.88,2.95,70,63.17,105,29.5,6.33,89.33,73.67,61.67
